Condition,Frequency Band,Most Integrated Subset,Subset Size,Max Φ Value,Mean Φ Value,Total Complexes,Epochs
awake_eyes_closed,delta,"Channels [0, 3]",2,17.677,12.393,660,60
awake_eyes_closed,theta,"Channels [1, 2]",2,16.413,11.742,660,60
awake_eyes_closed,alpha,"Channels [2, 3]",2,18.161,12.482,660,60
awake_eyes_closed,beta,"Channels [0, 1]",2,19.048,13.762,660,60
awake_eyes_closed,gamma,"Channels [2, 3]",2,22.097,16.045,660,60
awake_eyes_closed,broadband,"Channels [0, 1]",2,22.368,15.468,660,60
awake_eyes_open,delta,"Channels [1, 3]",2,18.125,12.603,660,60
awake_eyes_open,theta,"Channels [1, 3]",2,17.651,11.961,660,60
awake_eyes_open,alpha,"Channels [1, 2]",2,18.444,12.549,660,60
awake_eyes_open,beta,"Channels [0, 2]",2,19.224,13.917,660,60
awake_eyes_open,gamma,"Channels [2, 3]",2,20.915,15.451,660,60
awake_eyes_open,broadband,"Channels [1, 3]",2,21.708,15.501,660,60
sedation,delta,"Channels [1, 3]",2,17.911,12.615,132,12
sedation,theta,"Channels [1, 3]",2,17.413,12.032,132,12
sedation,alpha,"Channels [1, 3]",2,17.311,12.371,132,12
sedation,beta,"Channels [1, 2]",2,19.620,13.925,132,12
sedation,gamma,"Channels [2, 3]",2,21.278,15.406,132,12
sedation,broadband,"Channels [0, 2]",2,21.816,15.763,132,12
